#{"t_start": 1726061253.6615877, "env_id": "DRL_RBMSA-v4"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
966.5,1000,48708.64851,0.01,0.022107243650047036
984.2,1000,48712.396991,0.0,0.0
977.7,1000,48716.283835,0.004,0.007894125841653122
969.1,1000,48720.011513,0.007,0.01612531674729325
932.5,1000,48723.797308,0.025,0.05216602404173282
935.1,1000,48727.786319,0.024,0.05061787072243346
937.5,1000,48731.509777,0.024,0.047742850389978726
959.8,1000,48735.430014,0.01,0.01992124160296502
961.2,1000,48739.361544,0.011,0.02372804015514488
974.9,1000,48743.011609,0.004,0.009849790691947797
979.9,1000,48746.995006,0.0,0.0
979.0,1000,48750.746952,0.0,0.0
985.4,1000,48754.456686,0.0,0.0
951.9,1000,48758.680794,0.016,0.03195488721804511
963.2,1000,48762.46185,0.012,0.027586206896551724
963.5,1000,48766.497547,0.009,0.01655237644833294
979.3,1000,48770.462309,0.001,0.0009195402298850574
975.2,1000,48774.182558,0.003,0.0068744271310724105
980.7,1000,48778.363945,0.0,0.0
984.8,1000,48782.129106,0.0,0.0
965.4,1000,48786.080765,0.007,0.016233766233766232
957.0,1000,48789.994565,0.012,0.024865118461177574
975.6,1000,48793.631385,0.002,0.0033081285444234404
954.0,1000,48797.611833,0.015,0.028639618138424822
955.0,1000,48801.428716,0.016,0.03165735567970205
985.0,1000,48805.145359,0.0,0.0
981.4,1000,48808.945334,0.0,0.0
983.5,1000,48812.647458,0.0,0.0
983.2,1000,48816.546154,0.0,0.0
970.1,1000,48820.437725,0.006,0.012996389891696752
976.5,1000,48824.678957,0.001,0.0023618327822390174
980.5,1000,48828.593787,0.002,0.00474158368895211
982.7,1000,48832.372334,0.0,0.0
972.5,1000,48836.420611,0.005,0.008468424872973626
963.9,1000,48840.481027,0.011,0.020573108008817047
968.5,1000,48844.364734,0.008,0.015119795301232844
972.5,1000,48848.332816,0.006,0.01289090475053712
969.3,1000,48852.071152,0.007,0.017220172201722016
974.4,1000,48855.945165,0.005,0.011856770215793217
975.7,1000,48860.214063,0.005,0.010374911577458146
984.4,1000,48863.845432,0.0,0.0
969.9,1000,48867.755931,0.006,0.00757401882028919
965.4,1000,48871.687179,0.01,0.023568230025925053
957.3,1000,48875.914459,0.013,0.026484018264840183
959.3,1000,48879.512062,0.011,0.026215443279313633
968.4,1000,48883.189154,0.007,0.0136986301369863
977.0,1000,48887.198901,0.0,0.0
978.1,1000,48891.187627,0.002,0.00490075961774075
969.3,1000,48895.076427,0.007,0.014749942383037565
966.9,1000,48898.845946,0.008,0.0186523665190021
971.0,1000,48902.564824,0.005,0.011652295502213935
955.9,1000,48906.428079,0.013,0.028239580961056707
935.8,1000,48910.014535,0.025,0.05572465464762351
962.4,1000,48913.781764,0.012,0.026413345690454126
969.5,1000,48917.829081,0.008,0.019134178426213823
958.6,1000,48921.576898,0.014,0.02680965147453083
978.9,1000,48925.34633,0.003,0.0070389488503050214
975.1,1000,48929.14788,0.0,0.0
974.4,1000,48933.087471,0.005,0.011304544426859598
977.8,1000,48937.132398,0.005,0.011893434823977164
961.4,1000,48940.781106,0.011,0.02388496222276383
981.8,1000,48944.502074,0.002,0.00325052240538658
982.0,1000,48948.430769,0.001,0.002353494939985879
973.5,1000,48951.998094,0.003,0.007073803348266918
973.8,1000,48955.829754,0.007,0.01675442795595979
973.9,1000,48959.683541,0.006,0.013611615245009074
967.2,1000,48963.462961,0.008,0.019102196752626553
926.9,1000,48967.41603,0.03,0.055465680610122484
947.2,1000,48971.07232,0.019,0.04367816091954023
971.7,1000,48974.829731,0.006,0.012667135819845179
959.7,1000,48978.795916,0.011,0.025676937441643323
967.1,1000,48982.48782,0.008,0.019120458891013385
953.3,1000,48986.379829,0.016,0.03608247422680412
977.7,1000,48990.2295,0.005,0.011775788977861516
970.5,1000,48993.867596,0.009,0.019797313221777045
954.3,1000,48997.973296,0.015,0.0323943661971831
976.7,1000,49001.743913,0.005,0.011859582542694497
943.2,1000,49005.612108,0.022,0.04734805372183019
963.1,1000,49009.479637,0.008,0.01823985408116735
982.0,1000,49013.179904,0.0,0.0
973.2,1000,49017.130938,0.004,0.009427292010370021
972.9,1000,49020.782732,0.002,0.004730368968779565
982.0,1000,49024.613467,0.002,0.004711425206124852
971.2,1000,49028.530006,0.006,0.013972985561248253
974.7,1000,49032.181695,0.004,0.009332711152589827
975.9,1000,49036.048346,0.003,0.007132667617689016
957.2,1000,49040.079297,0.014,0.02935106626920431
980.0,1000,49043.928808,0.004,0.00791986955508968
