#{"t_start": 1720712696.5932832, "env_id": "DRL_RBMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
994,1000,33531.50721,0.003,0.007060484819957637
992,1000,33534.579906,0.004,0.008491508491508492
982,1000,33537.493916,0.009,0.019639934533551555
984,1000,33540.219728,0.008,0.017809439002671415
972,1000,33542.876086,0.014,0.02999016715830875
996,1000,33545.520321,0.002,0.004692632566870014
982,1000,33548.062125,0.009,0.01818181818181818
968,1000,33550.592797,0.016,0.03187342352671406
988,1000,33553.025984,0.006,0.013934045517882025
982,1000,33555.420406,0.009,0.017844564451749236
982,1000,33557.827664,0.009,0.018531717747683536
1000,1000,33560.30276,0.0,0.0
972,1000,33562.756935,0.014,0.03198854141799952
1000,1000,33565.166368,0.0,0.0
990,1000,33567.598382,0.005,0.0097856477166822
986,1000,33570.007413,0.007,0.01303538175046555
966,1000,33572.445954,0.017,0.034204739799657956
972,1000,33574.866344,0.014,0.030949589683470106
990,1000,33577.309665,0.005,0.007624493685966166
990,1000,33579.699912,0.005,0.011896264572924102
990,1000,33582.090779,0.005,0.01181753722524226
982,1000,33584.568143,0.009,0.015853951477300024
932,1000,33586.936734,0.034,0.0652073732718894
966,1000,33589.376308,0.017,0.039103481163567
978,1000,33591.767567,0.011,0.02575509248419574
952,1000,33594.148217,0.024,0.04795615437314455
952,1000,33596.504244,0.024,0.0547112462006079
986,1000,33598.963296,0.007,0.01644398766700925
980,1000,33601.372517,0.01,0.02358490566037736
958,1000,33603.796655,0.021,0.04358295208283169
984,1000,33606.247373,0.008,0.015427769985974754
922,1000,33608.669356,0.039,0.08337129840546698
974,1000,33611.134613,0.013,0.029397110114598904
942,1000,33613.539013,0.029,0.06433301797540208
938,1000,33615.932247,0.031,0.06161457162131774
950,1000,33618.382453,0.025,0.04771979313587212
968,1000,33620.797858,0.016,0.02926715055022243
950,1000,33623.255517,0.025,0.051351351351351354
972,1000,33625.702342,0.014,0.031242372467659263
966,1000,33628.197133,0.017,0.032964551817566044
976,1000,33630.708396,0.012,0.025328330206378986
978,1000,33633.484445,0.011,0.024592102151808938
992,1000,33637.266898,0.004,0.009711094925952901
926,1000,33641.007076,0.037,0.06782039289055192
960,1000,33644.696523,0.02,0.04158653846153846
996,1000,33648.319599,0.002,0.004830917874396135
958,1000,33651.798688,0.021,0.03861880963198546
984,1000,33655.097876,0.008,0.016977128035840602
946,1000,33658.103701,0.027,0.056511627906976745
966,1000,33660.994182,0.017,0.03583735354927636
994,1000,33663.968247,0.003,0.0073475385745775165
982,1000,33666.780103,0.009,0.021505376344086023
988,1000,33669.620641,0.006,0.014517299782240502
948,1000,33672.201456,0.026,0.05169511901899495
976,1000,33674.747218,0.012,0.021728633510381457
982,1000,33677.225356,0.009,0.020119760479041918
954,1000,33679.692843,0.023,0.05021940516821063
982,1000,33682.07669,0.009,0.01959412176347096
992,1000,33684.471902,0.004,0.007205950720595072
980,1000,33686.869384,0.01,0.02280501710376283
986,1000,33689.279328,0.007,0.016389604308124563
956,1000,33691.659213,0.022,0.044361428904973146
948,1000,33694.024467,0.026,0.05263157894736842
964,1000,33696.397662,0.018,0.04062572962876489
938,1000,33698.793052,0.031,0.05805829920501084
990,1000,33701.243699,0.005,0.010797546012269938
968,1000,33703.633651,0.016,0.033865967088003816
938,1000,33705.9783,0.031,0.06949071870537839
980,1000,33708.365704,0.01,0.02152550304164717
942,1000,33710.758277,0.029,0.05944215820759031
